category,review_rank,axis,item_id,dataset,gen_model,task,old_score,reviewed_score,old_subscores,reviewed_subscores,original_instruction,reviewed_instruction,instruction_fix_type,instruction_fix_note,generated_video_url,gt_video_url,init_frame_url,review_verdict,review_notes,reviewed_at,source_file,source_msg_or_note
teammate_100_unsure,,IA,data__droid__generated_data__cogvideo_i2v_f113_prefix__task_0021__episode_0001__1__task_0021_episode_0001,droid,cogvideo_i2v_f113_prefix,cogvideo_i2v_f113_prefix,4,4,2/2/2,2/2/2,"In a robotic workspace, a stable robotic arm Put the black electronic device into its black holder on the round white table.","In a robotic workspace, a stable robotic arm Put the black electronic device into its black holder on the round white table.",,Needs second review; teammate marked unsure.,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/gt_data/task_0021/episode_0001/video.mp4,,unsure,,2026-09-16T02:36:04.467Z,/mlx_devbox/users/masiyuan.jasper/playground/robojudge_review_20260916_pa_ia.jsonl,100-row teammate review file; verdict=unsure
teammate_100_unsure,,PA,data__open_x_embodiment__generated_data__wan22_ti2v5b_1280x704_f169_prefix__task_0120__episode_0001__1__task_0120_episode_0001,open_x_embodiment,wan22_ti2v5b_1280x704_f169_prefix,wan22_ti2v5b_1280x704_f169_prefix,4,4,2/2/0,2/2/0,"Within a fixed embodied manipulation setup, a physically consistent robotic arm proceeds to Grasp the brown book.","Within a fixed embodied manipulation setup, a physically consistent robotic arm proceeds to Grasp the brown book.",,Needs second review; teammate marked unsure.,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/gt_data/task_0120/episode_0001/video.mp4,,unsure,,2026-09-16T02:35:57.632Z,/mlx_devbox/users/masiyuan.jasper/playground/robojudge_review_20260916_pa_ia.jsonl,100-row teammate review file; verdict=unsure
teammate_100_unsure,,PA,data__droid__generated_data__cogvideo_i2v_f113_prefix__task_0142__episode_0001__1__task_0142_episode_0001,droid,cogvideo_i2v_f113_prefix,cogvideo_i2v_f113_prefix,1,1,2/0/0,2/0/0,"A rigid, physically plausible robotic arm in the fixed workspace proceeds to Hang the small purple folded cloth on the back of the orange bucket-shaped chair.","A rigid, physically plausible robotic arm in the fixed workspace proceeds to Hang the small purple folded cloth on the back of the orange bucket-shaped chair.",,Needs second review; teammate marked unsure.,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/gt_data/task_0142/episode_0001/video.mp4,,unsure,,2026-09-16T02:51:51.155Z,/mlx_devbox/users/masiyuan.jasper/playground/robojudge_review_20260916_pa_ia.jsonl,100-row teammate review file; verdict=unsure
explicit_instruction_fix,5,IA,data__droid__generated_data__abot_physworld_f113_rewrite__task_0123__episode_0001__1__task_0123_episode_0001,droid,abot_physworld_f113_rewrite,task_0123,5,5,2/2/2,,"Take the small black pepper container with a silver top from the wooden block using the gripper, and put it on the left side of the black counter.",Put the metal container with the white plastic lid onto the wooden square box on the left side.,target/action mismatch,Siyuan marked as instruction fix; target/action should be metal container with white plastic lid placed on wooden square box on the left side.,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/abot_physworld_f113_rewrite/task_0123/episode_0001/1/task_0123_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/abot_physworld_f113_rewrite/task_0123/episode_0001/1/prompt/init_frame.png,instruction_fix,Siyuan marked as instruction fix; target/action should be metal container with white plastic lid placed on wooden square box on the left side.,,test_0915_manifest instruction_fixes_not_applied,test_0915_manifest instruction_fixes_not_applied
explicit_instruction_fix,7,IA,data__droid__generated_data__wow_wan14b_f105_rewrite__task_0062__episode_0001__1__task_0062_episode_0001,droid,wow_wan14b_f105_rewrite,task_0062,5,5,2/2/2,,Remove the small black rectangular phone from the speckled countertop and put it into the clear plastic bin.,Remove the small black rectangular block/object near the table edge from the speckled countertop and put it into the clear plastic bin.,wrong object name,"Siyuan marked as instruction fix; target is black rectangular block/object, not phone.",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/wow_wan14b_f105_rewrite/task_0062/episode_0001/1/task_0062_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/wow_wan14b_f105_rewrite/task_0062/episode_0001/1/prompt/init_frame.png,instruction_fix,"Siyuan marked as instruction fix; target is black rectangular block/object, not phone.",,test_0915_manifest instruction_fixes_not_applied,test_0915_manifest instruction_fixes_not_applied
explicit_instruction_fix,21,IA,data__egoscaler_human__generated_data__wan22_ti2v5b_1280x704_f169_rewrite__task_0096__episode_0001__1__task_0096_episode_0001,egoscaler_human,wan22_ti2v5b_1280x704_f169_rewrite,task_0096,2,2,2/2/0,,Adjust both hands' positions on the black bicycle tire and silver spokes.,Use both hands to rotate the bicycle wheel forward.,too vague / wrong action,Siyuan marked as instruction fix; use both hands to rotate bicycle wheel forward.,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0096/episode_0001/1/task_0096_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0096/episode_0001/1/prompt/init_frame.png,instruction_fix,Siyuan marked as instruction fix; use both hands to rotate bicycle wheel forward.,,test_0915_manifest instruction_fixes_not_applied,test_0915_manifest instruction_fixes_not_applied
explicit_instruction_fix,31,IA,data__agibot_world__generated_data__veo31_lite_prefix__task_0150__episode_0001__1__task_0150_episode_0001,agibot_world,veo31_lite_prefix,task_0150,5,5,2/2/2,,Toast the two slices of brown bread in the white toaster with the left robotic gripper.,Use the left gripper to put the two brown bread slices into the white toaster slots.,over-strong goal,Siyuan marked as instruction fix; remove active toasting-cycle requirement and keep placement into toaster slots.,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/veo31_lite_prefix/task_0150/episode_0001/1/task_0150_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/veo31_lite_prefix/task_0150/episode_0001/1/prompt/init_frame.png,instruction_fix,Siyuan marked as instruction fix; remove active toasting-cycle requirement and keep placement into toaster slots.,,msg 45a8c7c6 / test_0915_manifest instruction_fixes_not_applied,msg 45a8c7c6 / test_0915_manifest instruction_fixes_not_applied
explicit_instruction_fix,40,IA,data__egodex_human__generated_data__abot_physworld_f113_prefix__task_0018__episode_0001__1__task_0018_episode_0001,egodex_human,abot_physworld_f113_prefix,task_0018,5,5,2/2/2,,Press each bubble on the rainbow circle fidget toy individually using your fingers.,Press bubbles on the rainbow circle fidget toy using your fingers.,over-strong quantifier,Siyuan marked as instruction fix; weaken “each bubble individually” to pressing bubbles.,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/abot_physworld_f113_prefix/task_0018/episode_0001/1/task_0018_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/abot_physworld_f113_prefix/task_0018/episode_0001/1/prompt/init_frame.png,instruction_fix,Siyuan marked as instruction fix; weaken “each bubble individually” to pressing bubbles.,,msg 7b350816 / test_0915_manifest instruction_fixes_not_applied,msg 7b350816 / test_0915_manifest instruction_fixes_not_applied
explicit_instruction_fix,112,PA,data__egoscaler_human__generated_data__cogvideo_i2v_f113_rewrite__task_0035__episode_0001__1__task_0035_episode_0001,egoscaler_human,cogvideo_i2v_f113_rewrite,task_0035,4,4,2/2/1,,Spread the white foam across the black motorcycle using your hands.,Spread the white foam across the wall surface using your hands.,wrong scene/object,Siyuan marked as instruction fix; replace black motorcycle with wall/wall surface. No score fix unless later specified.,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/cogvideo_i2v_f113_rewrite/task_0035/episode_0001/1/task_0035_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/cogvideo_i2v_f113_rewrite/task_0035/episode_0001/1/prompt/init_frame.png,instruction_fix,Siyuan marked as instruction fix; replace black motorcycle with wall/wall surface. No score fix unless later specified.,,msg fc45c716 / test_0915_manifest instruction_fixes_not_applied,msg fc45c716 / test_0915_manifest instruction_fixes_not_applied
explicit_instruction_fix,118,PA,data__egoscaler_human__generated_data__wan22_ti2v5b_1280x704_f169_rewrite__task_0096__episode_0001__1__task_0096_episode_0001,egoscaler_human,wan22_ti2v5b_1280x704_f169_rewrite,task_0096,1,2,0/0/0,,Adjust both hands' positions on the black bicycle tire and silver spokes.,Turn the bicycle wheel forward.,wrong / too vague action,Siyuan latest: change instruction to forward-rotate bicycle wheel and PA label to 2.,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0096/episode_0001/1/task_0096_episode_0001.mp4,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0096/episode_0001/1/prompt/init_frame.png,instruction_fix,Siyuan latest: change instruction to forward-rotate bicycle wheel and PA label to 2.,,msg 48cfdf74,msg 48cfdf74
