split_name,split_row_index,global_review_rank,item_id,axis,gold,clean_pred,clean_gold_gap,gemini,seed,core_mean,max_clean_vs_gemini_seed_gap,mean_clean_vs_gemini_seed_gap,gemini_seed_support_gold,gemini_seed_support_clean,all_judge_support_gold,all_judge_support_clean,review_score,dataset,gen_model,task,episode,instruction,all_judge_scores,video_url,clean_output_snippet
part1,1,1,data__droid__generated_data__cosmos3_prefix__task_0015__episode_0001__1__task_0015_episode_0001,IA,5,2,3,4,5,4.5,3,2.5,2,0,7,0,67.5,droid,cosmos3_prefix,task_0015,episode_0001,"""Remove the blue and white marker from the white round table and put it in the silver bowl.""","{""GPT-5.2"": 5, ""GPT-5.5"": 5, ""Gemini-3.5-Flash"": 4, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/cosmos3_prefix/task_0015/episode_0001/1/task_0015_episode_0001.mp4,"{""reasoning"": ""Agent match: The same robotic arm/gripper visible in the first frame performs the motion throughout; no new manipulator appears. Object correctness: The robot initially moves toward the blue-and-white marker on the white round table, but the marker is not clearly grasped or carried; it appears to disappear from the table rather than being visibly picked up. Goal completion: The silver bowl is contacted and the marker is not clearly placed inside it. By the end, the bowl is tipped "
part1,2,2,data__robotwin__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0142__episode_0001__1__task_0142_episode_0001,IA,2,5,3,2,3,2.5,3,2.5,2,0,5,2,63.5,robotwin,gigaworld_gr1_2b_f113_rewrite,task_0142,episode_0001,"""Set the light brown square cracker into the round metal skillet.""","{""GPT-5.2"": 2, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 3, ""Qwen3.7-Max"": 4, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0142/episode_0001/1/task_0142_episode_0001.mp4,"{""reasoning"": ""Agent match: The manipulation is performed by the same black robotic gripper/arm visible in the initial frame, so the agent is consistent. Object correctness: The object being moved is a light brown square cracker, matching the instructed target. Goal completion: By the end, a light brown square cracker is visibly inside the round metal skillet on the right, so the instructed placement is achieved. However, the video also shows extra/ambiguous manipulation of another cracker by th"
part1,3,3,data__droid__generated_data__abot_physworld_f113_rewrite__task_0137__episode_0001__1__task_0137_episode_0001,IA,5,2,3,4,5,4.5,3,2.5,2,0,4,3,61.5,droid,abot_physworld_f113_rewrite,task_0137,episode_0001,"""Move the yellow mug to the right.""","{""GPT-5.2"": 2, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 4, ""PhyJudge"": 2, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/abot_physworld_f113_rewrite/task_0137/episode_0001/1/task_0137_episode_0001.mp4,"{""reasoning"": ""Agent match: The same white robotic arm with black gripper visible in the initial frame performs the motion throughout; no new manipulator appears. Object correctness: The robot interacts with the yellow mug, which is the instructed target object. Goal completion: The mug is not clearly moved to the right by the end. It remains essentially in its original position on the table, with only slight contact or repositioning, so the instructed rightward displacement is not achieved."", """
part1,4,4,data__droid__generated_data__kling_rewrite__task_0104__episode_0001__1__task_0104_episode_0001,IA,3,5,2,1,3,2.0,4,3.0,2,0,4,1,60.0,droid,kling_rewrite,task_0104,episode_0001,"""Move the yellow mug on the white table next to the book.""","{""GPT-5.2"": 5, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 1, ""PhyJudge"": 4, ""Qwen3.7-Max"": 1, ""Qwen3.7-Plus"": 1, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/kling_rewrite/task_0104/episode_0001/1/task_0104_episode_0001.mp4,"{""reasoning"": ""Agent match: The same robotic arm and black gripper visible in the first frame performs the motion throughout; no new or different manipulator appears. Object correctness: The manipulated object is the yellow mug, matching the instructed target. Goal completion: By the end, the yellow mug has been moved from its initial position and is placed on the white table adjacent to the book, satisfying the requested final arrangement."", ""instruction_alignment"": 5}"
part1,5,5,data__egodex_human__generated_data__cosmos3_prefix__task_0096__episode_0001__1__task_0096_episode_0001,PA,3,5,2,2,2,2.0,3,3.0,2,0,5,2,55.0,egodex_human,cosmos3_prefix,task_0096,episode_0001,,"{""GPT-5.2"": 2, ""GPT-5.5"": 2, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 2, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cosmos3_prefix/task_0096/episode_0001/1/task_0096_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both human hands remain anatomically consistent, with stable fingers, wrists, and forearms; the right hand pinches and releases beads without warping or extra digits. Scene & object consistency: the yellow tabletop, beige wall panels, corner seam, and sorted bead piles stay fixed; the large mixed pile at the back remains coherent. The purple, orange, blue, green, yellow, red, pink, white, and cyan beads keep their colors and small cube shapes; only minor blur appe"
part1,6,6,data__robotwin__generated_data__kling_prefix__task_0016__episode_0001__1__task_0016_episode_0001,IA,3,5,2,2,3,2.5,3,2.5,2,0,5,1,54.5,robotwin,kling_prefix,task_0016,episode_0001,"""Set the red block from the gray table on the blue pad.""","{""GPT-5.2"": 5, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 1, ""Qwen3.7-Plus"": 1, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/kling_prefix/task_0016/episode_0001/1/task_0016_episode_0001.mp4,"{""reasoning"": ""Agent match: The manipulation is performed by the same robotic arm/gripper that enters from the left; no new or different agent appears. Object correctness: The object moved is the red block initially standing on the gray table, matching the instructed target. Goal completion: The red block is lifted and placed onto a blue pad by the end, with the gripper withdrawn, so the instructed final state is achieved. Minor note: the blue pad appears to be a larger square pad rather than th"
part1,7,7,data__gr1_inlab__generated_data__wow_wan14b_f105_rewrite__task_0026__episode_0001__1__task_0026_episode_0001,PA,3,5,2,2,2,2.0,3,3.0,2,0,3,2,53.0,gr1_inlab,wow_wan14b_f105_rewrite,task_0026,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 2, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_rewrite/task_0026/episode_0001/1/task_0026_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both robotic hands/arms remain structurally consistent throughout, with stable finger count, joints, wrist housings, and no visible melting, warping, or fused parts. Scene & object consistency: the table, curtain, towel, and background remain temporally stable with no obvious flicker or teleportation. The towel stays on the right side of the table, and the robot arms move continuously. Interaction realism: the robot hands approach each other and then separate in a"
part1,8,8,data__gr1_inlab__generated_data__cogvideo_i2v_f113_rewrite__task_0030__episode_0001__1__task_0030_episode_0001,PA,1,4,3,2,2,2.0,2,2.0,2,0,2,5,51.0,gr1_inlab,cogvideo_i2v_f113_rewrite,task_0030,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 3, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/cogvideo_i2v_f113_rewrite/task_0030/episode_0001/1/task_0030_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the two black robotic hands remain structurally consistent and stationary, with no visible melting, extra fingers, or warping; the human hands that enter later also appear anatomically consistent aside from normal motion blur. Scene & object consistency: the table, curtain, robot arms, and background remain stable. The white mug is mostly consistent, but it appears to be brought in by the human hand rather than clearly present from the start, and the small white o"
part1,9,9,data__robotwin__generated_data__wan26_flash_prefix__task_0084__episode_0001__1__task_0084_episode_0001,IA,5,3,2,5,5,5.0,2,2.0,2,0,6,0,50.0,robotwin,wan26_flash_prefix,task_0084,episode_0001,"""Grasp the red and yellow box and move it away from the textured grey table.""","{""GPT-5.2"": 5, ""GPT-5.5"": 5, ""Gemini-3.5-Flash"": 5, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wan26_flash_prefix/task_0084/episode_0001/1/task_0084_episode_0001.mp4,"{""reasoning"": ""Agent match: The same robotic arm/gripper visible in the first frame performs the action throughout; no new or different manipulator appears. Object correctness: The gripper targets and contacts the red-and-yellow box on the table, not the other nearby objects. Goal completion: The box is grasped and lifted slightly, but by the final frame it remains on or very near the textured grey table rather than being clearly moved away from it. Thus the main goal is only partially achieved."
part1,10,10,data__droid__generated_data__happyhorse_rewrite__task_0002__episode_0001__1__task_0002_episode_0001,PA,5,3,2,5,5,5.0,2,2.0,2,0,4,0,48.0,droid,happyhorse_rewrite,task_0002,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 5, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/happyhorse_rewrite/task_0002/episode_0001/1/task_0002_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the robot arm, joints, cables, and black gripper remain structurally consistent throughout; there is no visible melting, extra parts, or deformation. Scene & object consistency: the kitchen set, sink, stove, bins, towel, and background remain stable with no major flicker or teleportation. The purple and green objects keep roughly consistent identities, though their exact positions and visibility change somewhat abruptly during the grasp/placement sequence. Interac"
