review_rank,axis,item_id,dataset,gen_model,task,remaining_bucket,original_gold_score,reviewed_gold_score,original_gold_subscores,reviewed_gold_subscores,original_instruction,reviewed_instruction,score_changed_by_review,subscore_changed_by_review,instruction_changed_by_review,review_verdict,review_notes,video_url,gt_video_url
53,IA,data__egoscaler_human__generated_data__abot_physworld_f113_prefix__task_0085__episode_0001__1__task_0085_episode_0001,egoscaler_human,abot_physworld_f113_prefix,task_0085,active_reserved_ge6,5,3,2/2/2,2/2/1,Open the stainless steel refrigerator door by pulling its right handle with your hand.,Open the stainless steel refrigerator door by pulling its right handle with your hand.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/abot_physworld_f113_prefix/task_0085/episode_0001/1/task_0085_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/gt_data/task_0085/episode_0001/video.mp4
66,IA,data__gr1_inlab__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0134__episode_0001__1__task_0134_episode_0001,gr1_inlab,gigaworld_gr1_2b_f113_rewrite,task_0134,active_reserved_ge6,4,3,2/2/1,1/1/1,Pick up the dragon fruit.,Pick up the dragon fruit.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0134/episode_0001/1/task_0134_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/gt_data/task_0134/episode_0001/video.mp4
166,IA,data__gr1_inlab__generated_data__wan22_ti2v5b_1280x704_f169_prefix__task_0138__episode_0001__1__task_0138_episode_0001,gr1_inlab,wan22_ti2v5b_1280x704_f169_prefix,task_0138,active_reserved_ge6,4,2,0/2/2,0/2/1,Pick up the pink dragon fruit from the wooden table with the right gripper.,Pick up the pink dragon fruit from the wooden table with the right gripper.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan22_ti2v5b_1280x704_f169_prefix/task_0138/episode_0001/1/task_0138_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/gt_data/task_0138/episode_0001/video.mp4
26,IA,data__agibot_world__generated_data__cosmos3_rewrite__task_0164__episode_0001__1__task_0164_episode_0001,agibot_world,cosmos3_rewrite,task_0164,unassigned_lower_priority,5,4,2/2/2,2/2/1,Flatten the grey shorts on the floral patterned bed by pulling them outwards with the two robotic grippers.,Flatten the grey shorts on the floral patterned bed by pulling them outwards with the two robotic grippers.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/cosmos3_rewrite/task_0164/episode_0001/1/task_0164_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/gt_data/task_0164/episode_0001/video.mp4
32,IA,data__droid__generated_data__abot_physworld_f113_prefix__task_0054__episode_0001__1__task_0054_episode_0001,droid,abot_physworld_f113_prefix,task_0054,unassigned_lower_priority,4,3,2/2/2,2/2/1,Remove the light blue and white striped towel from the white toilet and put it on the silver horizontal towel bar on the wall with the black gripper.,Remove the light blue and white striped towel from the white toilet and put it on the silver horizontal towel bar on the wall with the black gripper.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/abot_physworld_f113_prefix/task_0054/episode_0001/1/task_0054_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/gt_data/task_0054/episode_0001/video.mp4
43,IA,data__egodex_human__generated_data__cosmos3_prefix__task_0037__episode_0001__1__task_0037_episode_0001,egodex_human,cosmos3_prefix,task_0037,unassigned_lower_priority,4,2,2/2/1,2/1/0,Insert the black USB connector into one of the black USB hub's ports using your hand.,Insert the black USB connector into one of the black USB hub's ports using your hand.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cosmos3_prefix/task_0037/episode_0001/1/task_0037_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/gt_data/task_0037/episode_0001/video.mp4
51,IA,data__egodex_human__generated_data__wan26_flash_prefix__task_0134__episode_0001__1__task_0134_episode_0001,egodex_human,wan26_flash_prefix,task_0134,unassigned_lower_priority,4,3,2/2/1,2/2/1,Unfold the white paper origami with both hands on the wooden table.,Unfold the white paper origami with both hands on the wooden table.,True,False,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/wan26_flash_prefix/task_0134/episode_0001/1/task_0134_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/gt_data/task_0134/episode_0001/video.mp4
57,IA,data__epickitchens_human__generated_data__abot_physworld_f113_rewrite__task_0058__episode_0001__1__task_0058_episode_0001,epickitchens_human,abot_physworld_f113_rewrite,task_0058,unassigned_lower_priority,5,4,2/2/2,2/2/1,Rinse the silver pot held by both hands under the silver faucet in the sink.,Rinse the silver pot held by both hands under the silver faucet in the sink.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/abot_physworld_f113_rewrite/task_0058/episode_0001/1/task_0058_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/gt_data/task_0058/episode_0001/video.mp4
78,IA,data__robotwin__generated_data__cogvideo_i2v_f113_prefix__task_0048__episode_0001__1__task_0048_episode_0001,robotwin,cogvideo_i2v_f113_prefix,task_0048,unassigned_lower_priority,1,2,0/0/0,1/0/0,"Pick the medium light orange/yellowish, textured bread with rounded sides with the black gripper of the robotic arm from the gray table and move it to the medium light orange/brown woven breadbasket.","Pick the medium light orange/yellowish, textured bread with rounded sides with the black gripper of the robotic arm from the gray table and move it to the medium light orange/brown woven breadbasket.",True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/cogvideo_i2v_f113_prefix/task_0048/episode_0001/1/task_0048_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/gt_data/task_0048/episode_0001/video.mp4
96,PA,data__agibot_world__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0178__episode_0001__1__task_0178_episode_0001,agibot_world,gigaworld_gr1_2b_f113_rewrite,task_0178,unassigned_lower_priority,1,2,0/0/0,1/0/1,Sort the clear plastic cups and small sealed bags from the two white trays into the blue tray on the right in the warehouse with the right gripper.,Sort the clear plastic cups and small sealed bags from the two white trays into the blue tray on the right in the warehouse with the right gripper.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0178/episode_0001/1/task_0178_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/gt_data/task_0178/episode_0001/video.mp4
102,PA,data__droid__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0138__episode_0001__1__task_0138_episode_0001,droid,gigaworld_gr1_2b_f113_rewrite,task_0138,unassigned_lower_priority,1,3,0/0/0,1/1/1,Pick up a silver utensil from the open wooden drawer and place it on the light brown rectangular wooden board.,Pick up a silver utensil from the open wooden drawer and place it on the light brown rectangular wooden board.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0138/episode_0001/1/task_0138_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/gt_data/task_0138/episode_0001/video.mp4
110,PA,data__egoscaler_human__generated_data__abot_physworld_f113_prefix__task_0092__episode_0001__1__task_0092_episode_0001,egoscaler_human,abot_physworld_f113_prefix,task_0092,unassigned_lower_priority,4,3,2/1/2,1/1/2,Pick up the dark-handled knife from the wooden countertop with your right hand.,Pick up the dark-handled knife from the wooden countertop with your right hand.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/abot_physworld_f113_prefix/task_0092/episode_0001/1/task_0092_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/gt_data/task_0092/episode_0001/video.mp4
146,PA,data__robotwin__generated_data__veo31_lite_prefix__task_0179__episode_0001__1__task_0179_episode_0001,robotwin,veo31_lite_prefix,task_0179,unassigned_lower_priority,5,4,2/2/2,1/1/2,Set the white wrapped item with a green logo and the French fries in red McDonald's packaging down on the green rectangular tray after picking them.,Set the white wrapped item with a green logo and the French fries in red McDonald's packaging down on the green rectangular tray after picking them.,True,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/veo31_lite_prefix/task_0179/episode_0001/1/task_0179_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/gt_data/task_0179/episode_0001/video.mp4
158,IA,data__egodex_human__generated_data__cogvideo_i2v_f113_rewrite__task_0117__episode_0001__1__task_0117_episode_0001,egodex_human,cogvideo_i2v_f113_rewrite,task_0117,unassigned_lower_priority,3,3,2/2/1,2/1/1,Open the white AirPods case with your hands.,Open the white AirPods case with your hands.,False,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cogvideo_i2v_f113_rewrite/task_0117/episode_0001/1/task_0117_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/gt_data/task_0117/episode_0001/video.mp4
160,IA,data__egoscaler_human__generated_data__abot_physworld_f113_prefix__task_0044__episode_0001__1__task_0044_episode_0001,egoscaler_human,abot_physworld_f113_prefix,task_0044,unassigned_lower_priority,3,3,2/2/1,2/1/1,Pick up the dark frying pan from the black cooker.,Pick up the dark frying pan from the black cooker.,False,True,False,corrected,,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/abot_physworld_f113_prefix/task_0044/episode_0001/1/task_0044_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/gt_data/task_0044/episode_0001/video.mp4
