audit_rank,axis,item_id,dataset,gen_model,task,episode,test_split,gold_score,b47_ckpt200_score,diff_model_minus_gold,direction,gold_subscores,gold_subscore_sum,video_url,init_frame_url,b47_reasoning,audit_bucket,review_status
1,IA,data__agibot_world__generated_data__gigaworld_gr1_2b_f113_prefix__task_0092__episode_0001__1__task_0092_episode_0001,agibot_world,gigaworld_gr1_2b_f113_prefix,task_0092,episode_0001,id,1,2,1,model_higher_by_1,0/1/0,1,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/gigaworld_gr1_2b_f113_prefix/task_0092/episode_0001/1/task_0092_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/gigaworld_gr1_2b_f113_prefix/task_0092/episode_0001/1/prompt/init_frame.png,"Agent match: The visible robotic grippers appear to be the same manipulators from the initial frame, so the agent mostly matches. Object correctness: The beige plates, bowls, and chopsticks on the right side are the relevant target objects, but the video does not clearly show the gripper grasping or moving them; they remain in the right sink area. Goal completion: The instructed goal is not achieved. By the end, the beige plates, bowls, and chopsticks are still on the right side/right sink area, and none have been transferred to the left sink. The left sink remains empty of the target items.",outside_194_absdiff1,unreviewed_audit_sample
2,IA,data__droid__generated_data__cogvideo_i2v_f113_prefix__task_0142__episode_0001__1__task_0142_episode_0001,droid,cogvideo_i2v_f113_prefix,task_0142,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/cogvideo_i2v_f113_prefix/task_0142/episode_0001/1/task_0142_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/cogvideo_i2v_f113_prefix/task_0142/episode_0001/1/prompt/init_frame.png,"Agent match: The same robot manipulator visible in the first frame appears to move away early in the video, so there is no clear evidence of a different agent taking over. Object correctness: The purple folded cloth is the relevant target object and it remains visible, though it appears to change size/position somewhat. Goal completion: The cloth is not hung on the back of the orange bucket-shaped chair. By the end it is lying flat on the orange chair surface, not draped or suspended on the chair back. Therefore the instructed goal is not achieved.",outside_194_absdiff1,unreviewed_audit_sample
3,IA,data__egodex_human__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0074__episode_0001__1__task_0074_episode_0001,egodex_human,gigaworld_gr1_2b_f113_rewrite,task_0074,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0074/episode_0001/1/task_0074_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0074/episode_0001/1/prompt/init_frame.png,"Agent match: The initial scene shows two hands, including a right hand near the wooden block, but later a different-looking hand/arm with a blue sleeve appears and performs most of the manipulation, so the same manipulator is not consistently maintained. Object correctness: The video involves wooden Jenga-like blocks, but the instructed target is a block from the existing Jenga tower; instead, the video mostly adds or rearranges blocks, and a block is not clearly removed from the tower. Goal completion: The required goal is not achieved. A block is not removed from the Jenga tower and placed on the yellow table; the tower is built up or altered, and any block on the table appears to be introduced rather than removed from the tower.",outside_194_absdiff1,unreviewed_audit_sample
4,IA,data__gr1_inlab__generated_data__cogvideo_i2v_f113_rewrite__task_0011__episode_0001__1__task_0011_episode_0001,gr1_inlab,cogvideo_i2v_f113_rewrite,task_0011,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/cogvideo_i2v_f113_rewrite/task_0011/episode_0001/1/task_0011_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/cogvideo_i2v_f113_rewrite/task_0011/episode_0001/1/prompt/init_frame.png,"Agent match: The manipulation is not performed by the same right robotic gripper shown in the first frame. The robot hands disappear, and a human hand/arm enters from the right to handle the cloth. Object correctness: The beige cloth is the relevant object, but it appears to be removed/replaced by a larger beige cloth rather than the original small beige cloth on the table. Goal completion: The cloth is not folded in half by the end; it is spread out flat on the wooden table. The instructed fold-in-half action is not achieved.",outside_194_absdiff1,unreviewed_audit_sample
5,IA,data__gr1_inlab__generated_data__wan22_ti2v5b_1280x704_f169_prefix__task_0043__episode_0001__1__task_0043_episode_0001,gr1_inlab,wan22_ti2v5b_1280x704_f169_prefix,task_0043,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan22_ti2v5b_1280x704_f169_prefix/task_0043/episode_0001/1/task_0043_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan22_ti2v5b_1280x704_f169_prefix/task_0043/episode_0001/1/prompt/init_frame.png,"Agent match: The manipulation is not performed by the same right robotic gripper shown in the first frame. The visible right gripper remains essentially stationary while a different black-gloved human hand/arm enters from the right and handles the mug. Object correctness: The object being moved appears to be the intended white mug, though it is brought in from the right/offscreen rather than clearly being the mug already on the right side of the table. Goal completion: The mug is not placed onto the black wire plant decoration. It is moved near the decoration and briefly over the right side, but by the end it is not resting on the plant decoration; the decoration remains empty. Therefore the instructed final state is not achieved.",outside_194_absdiff1,unreviewed_audit_sample
6,IA,data__agibot_world__generated_data__veo31_lite_prefix__task_0004__episode_0001__1__task_0004_episode_0001,agibot_world,veo31_lite_prefix,task_0004,episode_0001,id,2,3,1,model_higher_by_1,2/0/0,2,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/veo31_lite_prefix/task_0004/episode_0001/1/task_0004_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/veo31_lite_prefix/task_0004/episode_0001/1/prompt/init_frame.png,"Agent match: The same right robotic arm/gripper visible in the first frame performs the motion throughout; no new agent appears. Object correctness: The gripper appears to pick up an orange/yellow fruit from the tray, but it does not pick up a red apple, and the yellow star fruit is not clearly picked up or placed. Goal completion: The plastic bag ends with at most one orange/yellow fruit inside, while the required red apple and yellow star fruit are still missing. The instructed set of three objects is not placed into the bag by the end.",outside_194_absdiff1,unreviewed_audit_sample
7,IA,data__agibot_world__generated_data__wan22_ti2v5b_1280x704_f169_rewrite__task_0114__episode_0001__1__task_0114_episode_0001,agibot_world,wan22_ti2v5b_1280x704_f169_rewrite,task_0114,episode_0001,id,2,3,1,model_higher_by_1,2/1/2,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0114/episode_0001/1/task_0114_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0114/episode_0001/1/prompt/init_frame.png,"Agent match: The manipulation is performed by the same right robotic gripper/arm visible in the initial frame, so the agent mostly matches. Object correctness: The right gripper interacts with the green bottle and later a green plastic pouch-like object, but the pink mug is never grasped or moved. Goal completion: The grey felt bag ends with a green pouch/bottle-like object inside, but the pink mug remains on the wooden table outside the bag. Therefore the instructed packing of all three items is not completed.",outside_194_absdiff1,unreviewed_audit_sample
8,IA,data__egodex_human__generated_data__abot_physworld_f113_rewrite__task_0045__episode_0001__1__task_0045_episode_0001,egodex_human,abot_physworld_f113_rewrite,task_0045,episode_0001,id,2,3,1,model_higher_by_1,2/1/0,3,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/abot_physworld_f113_rewrite/task_0045/episode_0001/1/task_0045_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/abot_physworld_f113_rewrite/task_0045/episode_0001/1/prompt/init_frame.png,"Agent match: The same visible human hands from the initial frame remain the manipulator throughout; no new agent appears. Object correctness: The objects being handled are white dice, matching the instructed target. Goal completion: The task is not completed. Several white dice remain on the yellow table near the back, and by the end the hands are holding only a few dice while others are still scattered on the table. The instruction requires gathering all white dice, which is not achieved.",outside_194_absdiff1,unreviewed_audit_sample
9,IA,data__gr1_inlab__generated_data__wow_wan14b_f105_prefix__task_0097__episode_0001__1__task_0097_episode_0001,gr1_inlab,wow_wan14b_f105_prefix,task_0097,episode_0001,id,2,3,1,model_higher_by_1,1/2/0,3,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_prefix/task_0097/episode_0001/1/task_0097_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_prefix/task_0097/episode_0001/1/prompt/init_frame.png,"Agent match: The same two robotic grippers visible in the first frame remain present; the left gripper performs the initial action, so the agent is consistent. Object correctness: The manipulated object is the blue round plate from the wooden rack, matching the target object. Goal completion: The plate is successfully picked from the wooden rack by the left gripper, but it is never transferred to the right gripper and never placed into the black dish drying rack. By the final frame, the plate is still held by the left gripper near the wooden rack, so the instructed final goal is not achieved.",outside_194_absdiff1,unreviewed_audit_sample
10,IA,data__robotwin__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0143__episode_0001__1__task_0143_episode_0001,robotwin,gigaworld_gr1_2b_f113_rewrite,task_0143,episode_0001,id,2,3,1,model_higher_by_1,0/0/1,1,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0143/episode_0001/1/task_0143_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0143/episode_0001/1/prompt/init_frame.png,"Agent match: The initial scene shows a black robotic gripper/arm near the bottle, but later a human hand appears and manipulates the bottle, so the task is not clearly performed by the same manipulator shown in the first frame. Object correctness: The object being handled is the black Coca-Cola bottle with the red label, matching the target object, though the red cap is not clearly visible. Goal completion: The bottle is lifted and held, so the bottle is at least contacted, but the final state is ambiguous because the human hand is also holding it and the original robotic gripper is not clearly shown securely grasping it. Overall, the target object is involved, but the agent mismatch and unclear final grasp prevent full alignment.",outside_194_absdiff1,unreviewed_audit_sample
